"cim10","c_type","cma","lib_long","libelle","parent","type"
A00,3,0,Choléra,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A000,0,2,"Choléra à Vibrio cholerae 01, biovar cholerae",,A00,Pas de restriction particulière (valeur par défaut).
A001,0,2,"Choléra à Vibrio cholerae 01, biovar El Tor",,A00,Pas de restriction particulière (valeur par défaut).
A009,0,2,"Choléra, sans précision",,A00,Pas de restriction particulière (valeur par défaut).
A01,3,0,Fièvres typhoïde et paratyphoïde,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A010,0,2,Fièvre typhoïde,,A01,Pas de restriction particulière (valeur par défaut).
A011,0,2,Paratyphoïde A,,A01,Pas de restriction particulière (valeur par défaut).
A012,0,2,Paratyphoïde B,,A01,Pas de restriction particulière (valeur par défaut).
A013,0,2,Paratyphoïde C,,A01,Pas de restriction particulière (valeur par défaut).
A014,0,2,"Paratyphoïde, sans précision",,A01,Pas de restriction particulière (valeur par défaut).
A02,3,0,Autres salmonelloses,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A020,0,2,Entérite à Salmonella,,A02,Pas de restriction particulière (valeur par défaut).
A021,0,3,Septicémie à Salmonella,,A02,Pas de restriction particulière (valeur par défaut).
A022,0,2,Infection localisée à Salmonella,,A02,Pas de restriction particulière (valeur par défaut).
A028,0,2,Autres infections précisées à Salmonella,,A02,Pas de restriction particulière (valeur par défaut).
A029,0,2,"Salmonellose, sans précision",,A02,Pas de restriction particulière (valeur par défaut).
A03,3,0,Shigellose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A030,0,2,Shigellose à Shigella dysenteriae,,A03,Pas de restriction particulière (valeur par défaut).
A031,0,2,Shigellose à Shigella flexneri,,A03,Pas de restriction particulière (valeur par défaut).
A032,0,2,Shigellose à Shigella boydii,,A03,Pas de restriction particulière (valeur par défaut).
A033,0,2,Shigellose à Shigella sonnei,,A03,Pas de restriction particulière (valeur par défaut).
A038,0,2,Autres shigelloses,,A03,Pas de restriction particulière (valeur par défaut).
A039,0,2,"Shigellose, sans précision",,A03,Pas de restriction particulière (valeur par défaut).
A04,3,0,Autres infections intestinales bactériennes,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A040,0,2,Infection entéropathogène à Escherichia coli,,A04,Pas de restriction particulière (valeur par défaut).
A041,0,2,Infection entérotoxigène à Escherichia coli,,A04,Pas de restriction particulière (valeur par défaut).
A042,0,2,Infection entéro-invasive à Escherichia coli,,A04,Pas de restriction particulière (valeur par défaut).
A043,0,2,Infection entéro-hémorragique à Escherichia coli,,A04,Pas de restriction particulière (valeur par défaut).
A044,0,1,Autres infections intestinales à Escherichia coli,,A04,Pas de restriction particulière (valeur par défaut).
A045,0,1,Entérite à Campylobacter,,A04,Pas de restriction particulière (valeur par défaut).
A046,0,2,Entérite à Yersinia enterocolitica,,A04,Pas de restriction particulière (valeur par défaut).
A047,0,4,Entérocolite à Clostridium difficile,,A04,Pas de restriction particulière (valeur par défaut).
A048,0,1,Autres infections intestinales bactériennes précisées,,A04,Pas de restriction particulière (valeur par défaut).
A049,0,1,"Infection intestinale bactérienne, sans précision",,A04,Pas de restriction particulière (valeur par défaut).
A05,3,0,"Autres intoxications bactériennes d origine alimentaire, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A050,0,1,Intoxication alimentaire à staphylocoques,,A05,Pas de restriction particulière (valeur par défaut).
A051,0,4,Botulisme,,A05,Pas de restriction particulière (valeur par défaut).
A052,0,4,Intoxication alimentaire à Clostridium perfringens [Clostridium welchii],,A05,Pas de restriction particulière (valeur par défaut).
A053,0,1,Intoxication alimentaire à Vibrio parahaemolyticus,,A05,Pas de restriction particulière (valeur par défaut).
A054,0,1,Intoxication alimentaire à Bacillus cereus,,A05,Pas de restriction particulière (valeur par défaut).
A058,0,1,Autres intoxications bactériennes d origine alimentaire précisées,,A05,Pas de restriction particulière (valeur par défaut).
A059,0,1,"Intoxication bactérienne d origine alimentaire, sans précision",,A05,Pas de restriction particulière (valeur par défaut).
A06,3,0,Amibiase,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A060,0,1,Dysenterie amibienne (aiguë),,A06,Pas de restriction particulière (valeur par défaut).
A061,0,1,Amibiase intestinale chronique,,A06,Pas de restriction particulière (valeur par défaut).
A062,0,1,Colite amibienne non dysentérique,,A06,Pas de restriction particulière (valeur par défaut).
A063,0,1,Amoebome (de l intestin),,A06,Pas de restriction particulière (valeur par défaut).
A064,0,2,Abcès amibien du foie,,A06,Pas de restriction particulière (valeur par défaut).
A065,0,2,Abcès amibien du poumon (J99.8*),,A06,Pas de restriction particulière (valeur par défaut).
A066,0,2,Abcès amibien du cerveau (G07*),,A06,Pas de restriction particulière (valeur par défaut).
A067,0,1,Amibiase cutanée,,A06,Pas de restriction particulière (valeur par défaut).
A068,0,1,Autres localisations d une infection amibienne,,A06,Pas de restriction particulière (valeur par défaut).
A069,0,1,"Amibiase, sans précision",,A06,Pas de restriction particulière (valeur par défaut).
A07,3,0,Autres maladies intestinales à protozoaires,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A070,0,2,Balantidiose,,A07,Pas de restriction particulière (valeur par défaut).
A071,0,2,Giardiase [lambliase],,A07,Pas de restriction particulière (valeur par défaut).
A072,0,3,Cryptosporidiose,,A07,Pas de restriction particulière (valeur par défaut).
A073,0,3,Infection à Isospora,,A07,Pas de restriction particulière (valeur par défaut).
A078,0,2,"Autres maladies intestinales précisées, à protozoaires",,A07,Pas de restriction particulière (valeur par défaut).
A079,0,2,"Maladie intestinale à protozoaires, sans précision",,A07,Pas de restriction particulière (valeur par défaut).
A08,3,0,Infections virales intestinales et autres infections intestinales précisées,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A080,0,2,Entérite à rotavirus,,A08,Pas de restriction particulière (valeur par défaut).
A081,0,2,Gastro-entéropathie (aiguë) à l agent de Norwalk,,A08,Pas de restriction particulière (valeur par défaut).
A082,0,2,Entérite à adénovirus,,A08,Pas de restriction particulière (valeur par défaut).
A083,0,2,Autres entérites virales,,A08,Pas de restriction particulière (valeur par défaut).
A084,0,2,"Infections intestinales virales, sans précision",,A08,Pas de restriction particulière (valeur par défaut).
A085,0,2,Autres infections intestinales précisées,,A08,Pas de restriction particulière (valeur par défaut).
A09,3,0,Autres gastroentérites et colites d’origine infectieuse ou non précisée,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A090,0,2,"Gastroentérites et colites d’origine infectieuse, autres et non précisées",,A09,Pas de restriction particulière (valeur par défaut).
A099,0,1,Gastroentérites et colites d’origine non précisée,,A09,Pas de restriction particulière (valeur par défaut).
A15,3,0,"Tuberculose de l appareil respiratoire, avec confirmation bactériologique et histologique",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A150,0,2,"Tuberculose pulmonaire, confirmée par examen microscopique de l expectoration, avec ou sans culture",,A15,Pas de restriction particulière (valeur par défaut).
A151,0,2,"Tuberculose pulmonaire, confirmée par culture seulement",,A15,Pas de restriction particulière (valeur par défaut).
A152,0,2,"Tuberculose pulmonaire, avec confirmation histologique",,A15,Pas de restriction particulière (valeur par défaut).
A153,0,2,"Tuberculose pulmonaire, avec confirmation, moyen non précisé",,A15,Pas de restriction particulière (valeur par défaut).
A154,0,2,"Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A155,0,2,"Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A156,0,2,"Pleurésie tuberculeuse, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A157,0,2,"Primo-infection tuberculeuse de l appareil respiratoire, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A158,0,2,"Autres formes de tuberculose de l appareil respiratoire, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A159,0,1,"Tuberculose de l appareil respiratoire sans précision, avec confirmation bactériologique et histologique",,A15,Pas de restriction particulière (valeur par défaut).
A16,3,0,"Tuberculose de l appareil respiratoire, sans confirmation bactériologique ou histologique",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A160,0,2,"Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs",,A16,Pas de restriction particulière (valeur par défaut).
A161,0,2,"Tuberculose pulmonaire, sans examen bactériologique et histologique",,A16,Pas de restriction particulière (valeur par défaut).
